postcode,offence_division,offence_subdivision,offence_subgroup,offence_count
3000,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,176
3000,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,46
3000,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,32
3000,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,4
3000,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,339
3000,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,758
3000,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,3
3000,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,582
3000,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,2323
3000,B Property and deception offences,B40 Theft,B43 Steal from a retail store,2861
3000,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,708
3000,B Property and deception offences,B40 Theft,B49 Other theft,2857
3002,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,11
3002,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3002,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,7
3002,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3002,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,61
3002,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,52
3002,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,51
3002,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,267
3002,B Property and deception offences,B40 Theft,B43 Steal from a retail store,15
3002,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,58
3002,B Property and deception offences,B40 Theft,B49 Other theft,127
3003,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,10
3003,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3003,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,6
3003,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3
3003,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,93
3003,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,79
3003,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3003,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,90
3003,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,202
3003,B Property and deception offences,B40 Theft,B43 Steal from a retail store,16
3003,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,86
3003,B Property and deception offences,B40 Theft,B49 Other theft,244
3004,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,23
3004,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3004,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,2
3004,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,62
3004,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,80
3004,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,2
3004,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,91
3004,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,182
3004,B Property and deception offences,B40 Theft,B43 Steal from a retail store,79
3004,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,100
3004,B Property and deception offences,B40 Theft,B49 Other theft,221
3006,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,43
3006,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3006,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,11
3006,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3006,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,141
3006,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,127
3006,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,2
3006,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,297
3006,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,688
3006,B Property and deception offences,B40 Theft,B43 Steal from a retail store,373
3006,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,237
3006,B Property and deception offences,B40 Theft,B49 Other theft,565
3008,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,43
3008,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,5
3008,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,6
3008,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3008,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,73
3008,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,85
3008,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,170
3008,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,261
3008,B Property and deception offences,B40 Theft,B43 Steal from a retail store,445
3008,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,122
3008,B Property and deception offences,B40 Theft,B49 Other theft,492
3011,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,40
3011,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,4
3011,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,32
3011,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,8
3011,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,228
3011,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,215
3011,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3011,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,302
3011,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,846
3011,B Property and deception offences,B40 Theft,B43 Steal from a retail store,158
3011,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,192
3011,B Property and deception offences,B40 Theft,B49 Other theft,476
3012,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,13
3012,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3012,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,32
3012,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3
3012,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,98
3012,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,148
3012,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,200
3012,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,661
3012,B Property and deception offences,B40 Theft,B43 Steal from a retail store,84
3012,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,35
3012,B Property and deception offences,B40 Theft,B49 Other theft,324
3013,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3013,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3013,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,22
3013,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,54
3013,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,60
3013,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,102
3013,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,353
3013,B Property and deception offences,B40 Theft,B43 Steal from a retail store,73
3013,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,33
3013,B Property and deception offences,B40 Theft,B49 Other theft,140
3015,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3015,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3015,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,21
3015,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3015,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,54
3015,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,45
3015,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,110
3015,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,392
3015,B Property and deception offences,B40 Theft,B43 Steal from a retail store,104
3015,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,46
3015,B Property and deception offences,B40 Theft,B49 Other theft,155
3016,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3016,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3016,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,20
3016,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3016,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,50
3016,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,52
3016,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,95
3016,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,344
3016,B Property and deception offences,B40 Theft,B43 Steal from a retail store,140
3016,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,46
3016,B Property and deception offences,B40 Theft,B49 Other theft,152
3018,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,10
3018,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3018,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,4
3018,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,17
3018,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,40
3018,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,61
3018,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,117
3018,B Property and deception offences,B40 Theft,B43 Steal from a retail store,38
