postcode,locality,state,dc,type,sa3,sa3_name,sa4,sa4_name,region,status,sa1_code_2021,sa1_name_2021,sa2_code_2021,sa2_name_2021,ra_2021,ra_2021_name,mmm_2019,ced,altitude,charge_zone,phn_code,phn_name,lga_region,lga_code,electorate,electorate_rating,state_electoral_code,state_electoral_name,area_km2,long,lat
3000,MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 17-Mar-2024 AUSPOST,20604150622.0,North Melbourne,206041506.0,North Melbourne,20.0,Major Cities of Australia,1.0,Melbourne,27.3321876525879,V1,PHN201,North Western Melbourne,Melbourne,24600.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),2.4813915938929987,144.96237499492742,-37.81315551009898
3002,EAST MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 17-Mar-2024 AUSPOST,20604111915.0,East Melbourne,206041119.0,East Melbourne,20.0,Major Cities of Australia,1.0,Melbourne,27.3321876525879,V1,PHN201,North Western Melbourne,Melbourne,24600.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),1.8556412409106204,144.98258741911502,-37.814432328029206
3003,WEST MELBOURNE,VIC,CITY DELIVERY CENTRE,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20604151016.0,West Melbourne,206041510.0,West Melbourne - Residential,20.0,Major Cities of Australia,1.0,Melbourne,15.3160629272461,V1,PHN201,North Western Melbourne,Melbourne,24600.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),6.582044394543649,144.92519763171143,-37.80932812781106
3004,ST KILDA ROAD MELBOURNE,VIC,Melbourne Metro,Delivery Area,20605.0,Port Phillip,206.0,Melbourne - Inner,R1,Updated 25-Jan-2020,20605151429.0,Melbourne,206051514.0,St Kilda - West,20.0,Major Cities of Australia,1.0,Macnamara,-3492.0,V1,PHN203,South Eastern Melbourne,Melbourne,24600.0,Macnamara,Inner Metropolitan,26906.0,Prahran (Southern Metropolitan),4.042038840271373,144.97731921698278,-37.83253335052332
3006,SOUTHBANK,VIC,SOUTH MELBOURNE DC,Delivery Area,20605.0,Port Phillip,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20605151219.0,Southbank,206051512.0,South Melbourne,20.0,Major Cities of Australia,1.0,Macnamara,3.33676600456238,V1,PHN203,South Eastern Melbourne,Port Phillip,25900.0,Macnamara,Inner Metropolitan,26906.0,Prahran (Southern Metropolitan),1.854411944764598,144.9606565052086,-37.82576762057381
3008,DOCKLANDS,VIC,CITY DELIVERY CENTRE,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20605151104.0,Port Melbourne,206051511.0,Port Melbourne Industrial,20.0,Major Cities of Australia,1.0,Melbourne,12.555121421814,V1,PHN203,South Eastern Melbourne,Melbourne,24600.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),3.147608186564524,144.94043313277297,-37.81836182237669
3011,FOOTSCRAY,VIC,WEST FOOTSCRAY DC,Delivery Area,21303.0,Maribyrnong,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21303135123.0,West Footscray,213031351.0,West Footscray - Tottenham,20.0,Major Cities of Australia,1.0,Gellibrand,2.80171084403992,V1,PHN201,North Western Melbourne,Maribyrnong,24330.0,Maribyrnong,Inner Metropolitan,22907.0,Footscray (Western Metropolitan),5.966388334069174,144.8962535544008,-37.79948407264073
3012,BROOKLYN,VIC,WEST FOOTSCRAY DC,Delivery Area,21303.0,Maribyrnong,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21303135128.0,West Footscray,213031351.0,West Footscray - Tottenham,20.0,Major Cities of Australia,1.0,Maribyrnong,21.9553852081299,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Maribyrnong,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),15.257819380837184,144.85885305006994,-37.80324036027077
3013,YARRAVILLE,VIC,WEST FOOTSCRAY DC,Delivery Area,21303.0,Maribyrnong,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21303135234.0,Yarraville,213031352.0,Yarraville,20.0,Major Cities of Australia,1.0,Gellibrand,16.8368587493896,V1,PHN201,North Western Melbourne,Maribyrnong,24330.0,Gellibrand,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),5.659209251543143,144.8820238803553,-37.81791963339937
3015,NEWPORT,VIC,NEWPORT DC,Delivery Area,21302.0,Hobsons Bay,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21302134442.0,Spotswood,213021344.0,Newport,20.0,Major Cities of Australia,1.0,Gellibrand,,V1,PHN201,North Western Melbourne,Hobsons Bay,23110.0,Gellibrand,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),8.805101578140416,144.882185949684,-37.83779459067959
3016,WILLIAMSTOWN,VIC,NEWPORT DC,Delivery Area,21302.0,Hobsons Bay,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21302134635.0,Williamstown (Vic.),213021346.0,Williamstown,20.0,Major Cities of Australia,1.0,Gellibrand,,V1,PHN201,North Western Melbourne,Hobsons Bay,23110.0,Gellibrand,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),7.373599357220088,144.88482009369315,-37.85909733232121
3018,ALTONA,VIC,NEWPORT DC,Delivery Area,21302.0,Hobsons Bay,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21302134141.0,Altona (Vic.),213021341.0,Altona,20.0,Major Cities of Australia,1.0,Gellibrand,,V1,PHN201,North Western Melbourne,Hobsons Bay,23110.0,Gellibrand,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),17.68285293812596,144.81501026092738,-37.86030553852272
3019,BRAYBROOK,VIC,WEST FOOTSCRAY DC,Delivery Area,21303.0,Maribyrnong,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21303134748.0,Braybrook,213031347.0,Braybrook,20.0,Major Cities of Australia,1.0,Fraser,,V1,PHN201,North Western Melbourne,Maribyrnong,24330.0,Fraser,Inner Metropolitan,24307.0,Laverton (Western Metropolitan),4.3254257176641175,144.85484220729583,-37.78670499345732
3020,ALBION,VIC,SUNSHINE DC,Delivery Area,21301.0,Brimbank,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21301157017.0,Sunshine West,213011570.0,Derrimut,20.0,Major Cities of Australia,1.0,Fraser,36.3751678466797,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Fraser,Inner Metropolitan,27907.0,St Albans (Western Metropolitan),25.105677805721232,144.82385565087495,-37.7833445437905
3021,ALBANVALE,VIC,ST ALBANS DC,Delivery Area,21301.0,Brimbank,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21301133538.0,St Albans (Vic.),213011335.0,St Albans - South,20.0,Major Cities of Australia,1.0,Fraser,70.4598159790039,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Gorton,Outer Metropolitan,27907.0,St Albans (Western Metropolitan),19.498675518239075,144.7999976287591,-37.74290932225784
3022,ARDEER,VIC,SUNSHINE DC,Delivery Area,21301.0,Brimbank,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21301156931.0,Deer Park,213011569.0,Deer Park,20.0,Major Cities of Australia,1.0,Fraser,39.2066268920898,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Fraser,Inner Metropolitan,27907.0,St Albans (Western Metropolitan),2.130417017120993,144.80103891948818,-37.77595715835374
3023,BURNSIDE,VIC,SUNSHINE DC,Delivery Area,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21304146344.0,Caroline Springs,213041463.0,Caroline Springs,20.0,Major Cities of Australia,1.0,Gorton,52.1570587158203,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Gorton,Outer Metropolitan,28107.0,Sydenham (Western Metropolitan),39.5144440913418,144.7520059187401,-37.75977078662268
3024,MANOR LAKES,VIC,Melbourne Metro,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21305159035.0,Wyndham Vale,213051590.0,Wyndham Vale - South,21.0,Inner Regional Australia,2.0,Lalor,56.6905975341797,V1,PHN201,North Western Melbourne,Melton,24650.0,Lalor,Outer Metropolitan,28607.0,Werribee (Western Metropolitan),143.88093661026306,144.59941505927733,-37.83716438533688
3025,ALTONA EAST,VIC,NEWPORT DC,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21302134432.0,South Kingsville,213021344.0,Newport,20.0,Major Cities of Australia,1.0,Gellibrand,15.0428400039673,V1,PHN201,North Western Melbourne,Hobsons Bay,23110.0,Gellibrand,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),14.038668951246068,144.8347320369741,-37.83779677524559
3026,LAVERTON NORTH,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21305136307.0,Laverton North,213051363.0,Laverton,20.0,Major Cities of Australia,1.0,Gellibrand,,V1,PHN201,North Western Melbourne,Wyndham,27260.0,Gorton,Outer Metropolitan,24307.0,Laverton (Western Metropolitan),28.01507670040667,144.78203503379703,-37.81642868476467
3027,WILLIAMS LANDING,VIC,Melbourne Metro,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21305158720.0,Williams Landing,213051587.0,Truganina - South East,20.0,Major Cities of Australia,1.0,Gellibrand,16.2057991027832,V1,PHN201,North Western Melbourne,Wyndham,27260.0,Lalor,Outer Metropolitan,24307.0,Laverton (Western Metropolitan),3.8326820667303902,144.74305752166407,-37.86202256453311
3028,ALTONA MEADOWS,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21305136315.0,Laverton (Vic.),213051363.0,Laverton,20.0,Major Cities of Australia,1.0,Gellibrand,,V1,PHN201,North Western Melbourne,Wyndham,27260.0,Gellibrand,Inner Metropolitan,28707.0,Williamstown (Western Metropolitan),15.921619008716622,144.77771891409634,-37.87589151638469
3029,HOPPERS CROSSING,VIC,HOPPERS CROSSING DEL CENTRE,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21305158834.0,Truganina,213051588.0,Truganina - South West,20.0,Major Cities of Australia,1.0,Lalor,,V1,PHN201,North Western Melbourne,Melton,24650.0,Lalor,Outer Metropolitan,28607.0,Werribee (Western Metropolitan),117.79410129061108,144.69485840632302,-37.82125338566909
3030,CHARTWELL,VIC,Melbourne Metro,Delivery Area,21305.0,Wyndham,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21305158120.0,Point Cook,213051581.0,Point Cook - North West,21.0,Inner Regional Australia,1.0,Lalor,,V1,PHN201,North Western Melbourne,Wyndham,27260.0,Lalor,Outer Metropolitan,28607.0,Werribee (Western Metropolitan),240.14591697059524,144.62947085274917,-37.913249012018085
3031,FLEMINGTON,VIC,MOONEE PONDS DC,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20604112129.0,Kensington (Vic.),206041121.0,Kensington (Vic.),20.0,Major Cities of Australia,1.0,Melbourne,4.22009563446045,V1,PHN201,North Western Melbourne,Moonee Valley,25060.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),5.016343088142162,144.9226379602986,-37.79000231528192
3032,ASCOT VALE,VIC,MOONEE PONDS DC,Delivery Area,21303.0,Maribyrnong,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21303134937.0,Maribyrnong,213031349.0,Maribyrnong,20.0,Major Cities of Australia,1.0,Maribyrnong,2.21517205238342,V1,PHN201,North Western Melbourne,Maribyrnong,24330.0,Maribyrnong,Inner Metropolitan,22907.0,Footscray (Western Metropolitan),9.749940264677251,144.90001633549846,-37.77472434859736
3033,KEILOR EAST,VIC,NIDDRIE DC,Delivery Area,21301.0,Brimbank,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21001153436.0,Keilor East,210011534.0,Keilor East,20.0,Major Cities of Australia,1.0,Maribyrnong,65.5374374389648,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Maribyrnong,Inner Metropolitan,27907.0,St Albans (Western Metropolitan),9.07015301534077,144.85750092374693,-37.73949823518563
3034,AVONDALE HEIGHTS,VIC,NIDDRIE DC,Delivery Area,21001.0,Keilor,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21001153329.0,Avondale Heights,210011533.0,Avondale Heights,20.0,Major Cities of Australia,1.0,Maribyrnong,45.4558715820313,V1,PHN201,North Western Melbourne,Moonee Valley,25060.0,Maribyrnong,Inner Metropolitan,26107.0,Niddrie (Western Metropolitan),5.408482377974144,144.86260631977777,-37.761551706895766
3036,KEILOR,VIC,NIDDRIE DC,Delivery Area,21301.0,Brimbank,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21301134013.0,Keilor North,213011340.0,Taylors Lakes,20.0,Major Cities of Australia,1.0,Fraser,,V1,PHN201,North Western Melbourne,Hume,23270.0,Fraser,Inner Metropolitan,28107.0,Sydenham (Western Metropolitan),18.15318959690386,144.8137542915673,-37.69743259539271
3037,CALDER PARK,VIC,Melbourne Metro,Delivery Area,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21304157537.0,Hillside (Melton - Vic.),213041575.0,Hillside,20.0,Major Cities of Australia,1.0,Gorton,,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Gorton,Outer Metropolitan,28107.0,Sydenham (Western Metropolitan),22.546529308611035,144.75555800518362,-37.699828598156095
3038,KEILOR DOWNS,VIC,ST ALBANS DC,Delivery Area,21301.0,Brimbank,213.0,Melbourne - West,R1,Updated 6-Feb-2020,21301134049.0,Taylors Lakes,213011340.0,Taylors Lakes,20.0,Major Cities of Australia,1.0,Fraser,113.328323364258,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Fraser,Inner Metropolitan,28107.0,Sydenham (Western Metropolitan),13.350590081084317,144.79412220602356,-37.70686726971245
3039,MOONEE PONDS,VIC,MOONEE PONDS DC,Delivery Area,20603.0,Essendon,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20603111636.0,Moonee Ponds,206031116.0,Moonee Ponds,20.0,Major Cities of Australia,1.0,Maribyrnong,,V1,PHN201,North Western Melbourne,Moonee Valley,25060.0,Maribyrnong,Inner Metropolitan,26107.0,Niddrie (Western Metropolitan),4.355436681400201,144.9214293019173,-37.76562574688248
3040,ABERFELDIE,VIC,MOONEE PONDS DC,Delivery Area,21001.0,Keilor,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21001123012.0,Essendon West,210011230.0,Niddrie - Essendon West,20.0,Major Cities of Australia,1.0,Maribyrnong,,V1,PHN201,North Western Melbourne,Moonee Valley,25060.0,Maribyrnong,Inner Metropolitan,26107.0,Niddrie (Western Metropolitan),8.736768638996123,144.9054816057751,-37.75204905587494
3041,ESSENDON NORTH,VIC,MOONEE PONDS DC,Delivery Area,21003.0,Moreland - North,210.0,Melbourne - North West,R1,Updated 2-Dec-2022,21001123122.0,Strathmore (Vic.),210011231.0,Strathmore,20.0,Major Cities of Australia,1.0,Maribyrnong,75.548942565918,V1,PHN201,North Western Melbourne,Moonee Valley,25060.0,Maribyrnong,Inner Metropolitan,26107.0,Niddrie (Western Metropolitan),8.232052168576775,144.9071613506278,-37.72945779998124
3042,AIRPORT WEST,VIC,NIDDRIE DC,Delivery Area,21001.0,Keilor,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21001153428.0,Keilor East,210011534.0,Keilor East,20.0,Major Cities of Australia,1.0,Maribyrnong,-3492.0,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Maribyrnong,Inner Metropolitan,26107.0,Niddrie (Western Metropolitan),8.889400736204628,144.87086743927125,-37.725270802536414
3043,GLADSTONE PARK,VIC,NIDDRIE DC,Delivery Area,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21005125019.0,Tullamarine,210051250.0,Tullamarine,20.0,Major Cities of Australia,1.0,Calwell,,V1,PHN201,North Western Melbourne,Brimbank,21180.0,Maribyrnong,Inner Metropolitan,28007.0,Sunbury (Western Metropolitan),12.401610479747609,144.88138303647534,-37.70023399757435
3044,PASCOE VALE,VIC,PRESTON DC,Delivery Area,21003.0,Moreland - North,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21003153837.0,Pascoe Vale,210031538.0,Pascoe Vale,20.0,Major Cities of Australia,1.0,Wills,67.5323867797852,V1,PHN201,North Western Melbourne,Moreland,25250.0,Wills,Inner Metropolitan,26603.0,Pascoe Vale (Northern Metropolitan),8.022674802227572,144.93825353917873,-37.73198696553565
3045,MELBOURNE AIRPORT,VIC,NIDDRIE DC,Delivery Area,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21005125008.0,Tullamarine,210051250.0,Tullamarine,20.0,Major Cities of Australia,1.0,Calwell,104.726623535156,V1,PHN201,North Western Melbourne,Hume,23270.0,Calwell,Outer Metropolitan,28007.0,Sunbury (Western Metropolitan),27.040907576614085,144.83801531418578,-37.67376044865891
3046,GLENROY,VIC,PRESTON DC,Delivery Area,21003.0,Moreland - North,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21003153816.0,Oak Park,210031538.0,Pascoe Vale,20.0,Major Cities of Australia,1.0,Wills,,V1,PHN201,North Western Melbourne,Moreland,25250.0,Wills,Inner Metropolitan,26603.0,Pascoe Vale (Northern Metropolitan),14.29932151979814,144.93037113161927,-37.70637797388288
3047,BROADMEADOWS,VIC,SOMERTON DC,Delivery Area,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21005124344.0,Dallas,210051243.0,Campbellfield - Coolaroo,20.0,Major Cities of Australia,1.0,Calwell,,V1,PHN201,North Western Melbourne,Hume,23270.0,Calwell,Outer Metropolitan,21303.0,Broadmeadows (Northern Metropolitan),11.485133721158142,144.93091681120077,-37.68109701383816
3048,COOLAROO,VIC,SOMERTON DC,Delivery Area,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21005124730.0,Meadow Heights,210051247.0,Meadow Heights,20.0,Major Cities of Australia,1.0,Calwell,136.82600402832,V1,PHN201,North Western Melbourne,Hume,23270.0,Calwell,Outer Metropolitan,23503.0,Greenvale (Northern Metropolitan),7.760821816311244,144.9250384964849,-37.6534229606178
3049,ATTWOOD,VIC,SOMERTON DC,Delivery Area,21005.0,Tullamarine - Broadmeadows,210.0,Melbourne - North West,R1,Updated 6-Feb-2020,21005124553.0,Attwood,210051245.0,Gladstone Park - Westmeadows,20.0,Major Cities of Australia,1.0,Calwell,,V1,PHN201,North Western Melbourne,Hume,23270.0,Calwell,Outer Metropolitan,28007.0,Sunbury (Western Metropolitan),10.072720253669656,144.88937509081225,-37.67106592317767
3051,HOTHAM HILL,VIC,Melbourne Metro,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20604150639.0,North Melbourne,206041506.0,North Melbourne,20.0,Major Cities of Australia,1.0,Melbourne,8.05242347717285,V1,PHN201,North Western Melbourne,Melbourne,24600.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),2.346085423572526,144.9449306002201,-37.79846715506451
3052,MELBOURNE UNIVERSITY,VIC,CARLTON DC,Delivery Area,20604.0,Melbourne City,206.0,Melbourne - Inner,R1,Updated 6-Feb-2020,20604112422.0,Parkville (Vic.),206041124.0,Parkville,20.0,Major Cities of Australia,1.0,Melbourne,32.1802024841309,V1,PHN201,North Western Melbourne,Moreland,25250.0,Melbourne,Inner Metropolitan,24703.0,Melbourne (Northern Metropolitan),4.064455830908102,144.95147763245666,-37.78706504495329
