Local Government Area,Total,Unsolved,Charges Laid,Unsolved Proportion,Charged Proportion,No Charges Proportion
Alpine,331,134,113,0.40483383685800606,0.3413897280966767,0.2537764350453172
Ararat,1273,498,469,0.39120188531029065,0.3684210526315789,0.24037706205813048
Ballarat,10152,5539,3266,0.5456067769897557,0.32171000788022064,0.13268321513002368
Banyule,8086,4274,2820,0.5285678951273807,0.34875092752906256,0.12268117734355677
Bass Coast,2510,902,1044,0.3593625498007968,0.4159362549800797,0.22470119521912357
Baw Baw,4001,1739,1327,0.4346413396650837,0.3316670832291927,0.23369157710572352
Bayside,4632,3097,1045,0.6686096718480138,0.22560449050086356,0.1057858376511227
Benalla,1170,401,537,0.34273504273504274,0.45897435897435895,0.19829059829059825
Boroondara,7749,5180,1703,0.6684733514001807,0.21977029294102465,0.1117563556587946
Brimbank,14369,8449,4210,0.5880019486394321,0.2929918574709444,0.11900619388962341
Buloke,230,122,60,0.5304347826086957,0.2608695652173913,0.20869565217391295
Campaspe,3166,1376,1251,0.43461781427668983,0.39513581806696146,0.1702463676563487
Cardinia,6828,3597,1970,0.5268014059753954,0.2885178676039836,0.18468072642062094
Casey,21416,12520,5270,0.5846096376540904,0.24607769891669778,0.16931266342921192
Central Goldfields,1116,400,472,0.35842293906810035,0.4229390681003584,0.21863799283154117
Colac-Otway,1361,417,700,0.30639235855988245,0.5143277002204262,0.17927994121969137
Corangamite,655,261,301,0.3984732824427481,0.4595419847328244,0.14198473282442747
Darebin,15001,9366,3960,0.6243583761082594,0.2639824011732551,0.1116592227184855
East Gippsland,4187,1423,1566,0.339861475997134,0.3740148077382374,0.2861237162646286
Frankston,13402,6477,5036,0.4832860767049694,0.3757648112222056,0.140949112072825
Gannawarra,610,241,227,0.3950819672131147,0.3721311475409836,0.23278688524590163
Glen Eira,6785,4497,1493,0.6627855563743552,0.22004421518054532,0.1171702284450995
Glenelg,1616,602,696,0.3725247524752475,0.4306930693069307,0.19678217821782185
Golden Plains,639,378,177,0.5915492957746479,0.27699530516431925,0.13145539906103287
Greater Bendigo,9525,4420,3529,0.46404199475065616,0.370498687664042,0.16545931758530186
Greater Dandenong,17016,9431,5180,0.5542430653502586,0.3044193700047015,0.14133756464503988
Greater Geelong,18979,9120,7061,0.4805311133357922,0.3720427841298277,0.14742610253438015
Greater Shepparton,7102,2782,2897,0.3917206420726556,0.4079132638693326,0.20036609405801187
Hepburn,650,398,179,0.6123076923076923,0.2753846153846154,0.11230769230769222
Hindmarsh,229,114,68,0.4978165938864629,0.29694323144104806,0.205240174672489
Hobsons Bay,6289,3882,1711,0.6172682461440611,0.2720623310542217,0.11066942280171732
Horsham,1749,534,792,0.3053173241852487,0.4528301886792453,0.241852487135506
Hume,17321,10136,4709,0.5851856128399053,0.27186652040875237,0.1429478667513423
Indigo,470,264,120,0.5617021276595745,0.2553191489361702,0.18297872340425525
Kingston,10209,5846,3009,0.5726319913801547,0.2947399353511607,0.13262807326868453
Knox,8523,4423,2592,0.5189487269740701,0.3041182682154171,0.17693300481051277
Latrobe,9798,3632,3854,0.37068789548887526,0.39334558073076137,0.23596652378036342
Loddon,386,197,129,0.5103626943005182,0.33419689119170987,0.1554404145077719
Macedon Ranges,2017,945,649,0.46851760039662865,0.3217649975210709,0.2097174020823005
Manningham,4160,2623,966,0.6305288461538462,0.23221153846153847,0.13725961538461529
Mansfield,317,115,121,0.3627760252365931,0.38170347003154576,0.25552050473186116
Maribyrnong,9817,6591,2234,0.6713863705816441,0.22756442905164512,0.10104920036671083
Maroondah,6851,3522,2184,0.5140855349584003,0.3187855787476281,0.1671288862939717
Melbourne,34620,22155,9182,0.639948006932409,0.2652224147891392,0.09482957827845173
Melton,11912,7056,3321,0.5923438549361988,0.27879449294828745,0.1288616521155137
Merri-bek,12563,8324,3048,0.6625805938072117,0.24261720926530286,0.09480219692748548
Mildura,6399,2655,2558,0.4149085794655415,0.39974996093139553,0.18534145960306292
Mitchell,3782,1545,1343,0.408514013749339,0.35510312004230565,0.23638286620835536
Moira,1747,660,812,0.37779049799656556,0.4647967945048655,0.15741270749856895
Monash,12121,7907,2961,0.6523389159310288,0.24428677501856283,0.10337430905040845
Moonee Valley,8049,5085,2105,0.6317554975773388,0.2615231705801963,0.1067213318424649
Moorabool,2042,979,680,0.4794319294809011,0.3330068560235064,0.1875612144955925
Mornington Peninsula,9535,5212,2837,0.5466177241740955,0.297535395909806,0.15584687991609858
Mount Alexander,997,450,389,0.45135406218655966,0.3901705115346038,0.1584754262788366
Moyne,532,217,212,0.40789473684210525,0.39849624060150374,0.193609022556391
Murrindindi,512,230,138,0.44921875,0.26953125,0.28125
Nillumbik,1760,941,458,0.5346590909090909,0.26022727272727275,0.20511363636363633
Northern Grampians,933,345,348,0.36977491961414793,0.3729903536977492,0.2572347266881029
Port Phillip,12343,8521,2715,0.6903508061249292,0.2199627319128251,0.08968646196224572
Pyrenees,382,230,90,0.6020942408376964,0.2356020942408377,0.16230366492146597
Queenscliffe,77,40,26,0.5194805194805194,0.33766233766233766,0.1428571428571429
South Gippsland,1609,648,652,0.4027346177750155,0.40522063393412056,0.19204474829086393
Southern Grampians,1011,280,500,0.27695351137487634,0.49455984174085066,0.228486646884273
Stonnington,10860,7184,2592,0.6615101289134439,0.23867403314917127,0.09981583793738491
Strathbogie,562,269,189,0.4786476868327402,0.33629893238434166,0.1850533807829181
Surf Coast,1018,553,292,0.5432220039292731,0.2868369351669941,0.16994106090373284
Swan Hill,1563,512,691,0.327575175943698,0.4420985284708893,0.23032629558541262
Towong,162,87,45,0.5370370370370371,0.2777777777777778,0.18518518518518512
Wangaratta,2027,689,935,0.3399111988159842,0.46127281697089295,0.19881598421312285
Warrnambool,2775,885,1456,0.31891891891891894,0.5246846846846847,0.15639639639639635
Wellington,3758,1229,1585,0.3270356572645024,0.4217668972857903,0.25119744544970724
West Wimmera,147,60,50,0.40816326530612246,0.3401360544217687,0.2517006802721089
Whitehorse,9282,6297,1973,0.678409825468649,0.2125619478560655,0.10902822667528544
Whittlesea,13655,7431,3800,0.5441962651043574,0.27828634199926766,0.17751739289637491
Wodonga,3640,1621,1464,0.44532967032967036,0.4021978021978022,0.15247252747252737
Wyndham,18622,11908,4729,0.6394587047578133,0.25394694447427774,0.10659435076790902
Yarra,13038,8612,3274,0.6605307562509587,0.2511121337628471,0.08835710998619417
Yarra Ranges,5946,2712,1967,0.45610494450050454,0.3308106289942819,0.21308442650521364
Yarriambiack,384,152,159,0.3958333333333333,0.4140625,0.19010416666666674
