Brand,Model,Total,best_match,score,prop,model_risk
ajp   ,PR7   ,1,pr7,100,0.0033222591362126247,1e-06
aprili,660,1,660,100,0.0033222591362126247,1e-06
beta  ,300RR ,1,300rr,100,0.0033222591362126247,1e-06
cfmoto,150SC ,1,1250sc,91,0.0033222591362126247,1e-06
cfmoto,300NK ,4,300nk,100,0.013289036544850499,0.04918122950819672
cfmoto,520,1,520,100,0.0033222591362126247,1e-06
cfmoto,650MT ,1,650mt,100,0.0033222591362126247,1e-06
cfmoto,GSXR25,1,gsx-r125,86,0.0033222591362126247,1e-06
cfmoto,U1000 ,2,1000,89,0.006644518272425249,0.016394409836065577
ducati,DESERT,1,desertx,92,0.0033222591362126247,1e-06
ducati,MULTIS,1,multiuso,86,0.0033222591362126247,1e-06
ducati,STREET,5,street,100,0.016611295681063124,0.0655746393442623
gasgas,EC300 ,2,ec300,100,0.006644518272425249,0.016394409836065577
gasgas,MC250 ,1,mc250,100,0.0033222591362126247,1e-06
hino  ,300,18,300,100,0.059800664451827246,0.27868896721311476
hino  ,500,14,500,100,0.046511627906976744,0.21311532786885246
hino  ,500 FC,1,500 sfc,92,0.0033222591362126247,1e-06
hino  ,700,1,700,100,0.0033222591362126247,1e-06
honda ,CB1000,2,cb1000c,92,0.006644518272425249,0.016394409836065577
honda ,CB125F,6,cb125f,100,0.019933554817275746,0.08196804918032786
honda ,CB300R,3,cb300r,100,0.009966777408637873,0.032787819672131145
honda ,CB350F,1,cb350,91,0.0033222591362126247,1e-06
honda ,CB500 ,1,cbr500,91,0.0033222591362126247,1e-06
honda ,CB500F,2,cb500f,100,0.006644518272425249,0.016394409836065577
honda ,CB500R,2,cbr500r,92,0.006644518272425249,0.016394409836065577
honda ,CB500X,5,cb500x,100,0.016611295681063124,0.0655746393442623
honda ,CB650R,6,cb650r,100,0.019933554817275746,0.08196804918032786
honda ,CB750 ,2,cb750,100,0.006644518272425249,0.016394409836065577
honda ,CBF125,4,cbf125,100,0.013289036544850499,0.04918122950819672
honda ,CBR500,2,cbr500,100,0.006644518272425249,0.016394409836065577
honda ,CBR50R,2,cbr150r,92,0.006644518272425249,0.016394409836065577
honda ,CBR650,17,cbr650f,92,0.05647840531561462,0.2622955573770492
honda ,CRF110,1,crf110f,92,0.0033222591362126247,1e-06
honda ,CRF250,1,crf250f,92,0.0033222591362126247,1e-06
honda ,CRF300,3,crf300l,92,0.009966777408637873,0.032787819672131145
honda ,CRF450,3,crf450f,92,0.009966777408637873,0.032787819672131145
honda ,CRF45L,2,crf450l,92,0.006644518272425249,0.016394409836065577
honda ,NAVI  ,2,navi,100,0.006644518272425249,0.016394409836065577
honda ,NT 110,1,tnt 1130,86,0.0033222591362126247,1e-06
honda ,NT1100,1,nt1100,100,0.0033222591362126247,1e-06
honda ,PCX   ,1,pcx,100,0.0033222591362126247,1e-06
honda ,PCX 12,1,pcx (125),92,0.0033222591362126247,1e-06
honda ,PCX125,16,pcx125,100,0.053156146179401995,0.2459021475409836
honda ,SXS100,2,ss100,91,0.006644518272425249,0.016394409836065577
indian,CHIEFT,1,chief,91,0.0033222591362126247,1e-06
indian,SCOUT ,6,scout,100,0.019933554817275746,0.08196804918032786
kawasa,650L  ,2,z650l,89,0.006644518272425249,0.016394409836065577
kawasa,KDF100,2,df100,91,0.006644518272425249,0.016394409836065577
kawasa,KLR650,4,klr650,100,0.013289036544850499,0.04918122950819672
kawasa,KLX140,1,klx140,100,0.0033222591362126247,1e-06
kawasa,KLX150,1,klx150,100,0.0033222591362126247,1e-06
kawasa,KLX230,1,klx230,100,0.0033222591362126247,1e-06
kawasa,KR1S  ,2,kr1-s,89,0.006644518272425249,0.016394409836065577
kawasa,VERSYS,1,versys,100,0.0033222591362126247,1e-06
kawasa,Z1000 ,1,z1000,100,0.0033222591362126247,1e-06
kawasa,Z650RS,1,z650rs,100,0.0033222591362126247,1e-06
kawasa,Z900  ,1,z900,100,0.0033222591362126247,1e-06
kawasa,ZR900 ,1,z900,89,0.0033222591362126247,1e-06
ktm   ,450EXC,1,450 exc,92,0.0033222591362126247,1e-06
kymco ,LIKE 1,1,like 125,86,0.0033222591362126247,1e-06
kymco ,SKI150,1,sk150,91,0.0033222591362126247,1e-06
mahind,3650,1,350,86,0.0033222591362126247,1e-06
mini  ,COOPER,62,cooper,100,0.2059800664451827,0.9999990000000001
polari,RANGER,6,ranger,100,0.019933554817275746,0.08196804918032786
sany  ,SY50U ,1,sy50,89,0.0033222591362126247,1e-06
sea   ,500,1,500,100,0.0033222591362126247,1e-06
sherco,250 2T,1,250 t,91,0.0033222591362126247,1e-06
sherco,300 2T,3,300cc 2t,86,0.009966777408637873,0.032787819672131145
suzuki,DR200 ,2,dr200,100,0.006644518272425249,0.016394409836065577
suzuki,DR200S,1,dr200s,100,0.0033222591362126247,1e-06
suzuki,DRZ400,2,dr-z400e,86,0.006644518272425249,0.016394409836065577
suzuki,DRZ40E,4,dr-z400e,86,0.013289036544850499,0.04918122950819672
suzuki,GSX S1,1,gsx-s125,86,0.0033222591362126247,1e-06
suzuki,GSXR25,1,gsx-r125,86,0.0033222591362126247,1e-06
suzuki,GSXS25,1,gsx-s125,86,0.0033222591362126247,1e-06
suzuki,RGV250,1,gv250,91,0.0033222591362126247,1e-06
suzuki,S CROS,3,cross,91,0.009966777408637873,0.032787819672131145
suzuki,SCROSS,2,cross,91,0.006644518272425249,0.016394409836065577
suzuki,SV650 ,1,sv650,100,0.0033222591362126247,1e-06
suzuki,UK110 ,1,k110,89,0.0033222591362126247,1e-06
vespa ,PRIMAV,3,prima v,92,0.009966777408637873,0.032787819672131145
vespa ,SPRINT,1,sprint,100,0.0033222591362126247,1e-06
yamaha,AG200 ,1,ag200f,91,0.0033222591362126247,1e-06
