building_address,clue_small_area,parking_type,parking_spaces,longitude,latitude,location,street_address,suburb,postcode
Spencer Outlet Centre 163-261 Spencer Street DOCKLANDS VIC 3008,Docklands,Commercial,583,144.95056413125002,-37.81450895670129,"-37.81450895670129, 144.95056413125002",Spencer Outlet Centre 163-261 Spencer Street,DOCKLANDS,3008
396-416 Docklands Drive DOCKLANDS VIC 3008,Docklands,Commercial,238,144.94004822717176,-37.8133266242,"-37.8133266242, 144.94004822717176",396-416 Docklands Drive,DOCKLANDS,3008
The Albert 158 Albert Street EAST MELBOURNE VIC 3002,East Melbourne,Commercial,60,144.9856242014758,-37.81004732904999,"-37.81004732904999, 144.9856242014758",The Albert 158 Albert Street EAST,MELBOURNE,3002
100-110 Kings Way SOUTHBANK VIC 3006,Southbank,Commercial,15,144.96166445403145,-37.8279496529,"-37.8279496529, 144.96166445403145",100-110 Kings Way,SOUTHBANK,3006
QV Retail & Parking 221 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,1150,144.965725053002,-37.81067861705,"-37.81067861705, 144.965725053002",QV Retail & Parking 221 Little Lonsdale Street,MELBOURNE,3000
Queen Victoria Market Car Park Queen Victoria Market 391 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,564,144.9576272223,-37.80783257422127,"-37.807832574221266, 144.9576272223",Queen Victoria Market Car Park Queen Victoria Market 391 Queen Street,MELBOURNE,3000
58-64 Franklin Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,360,144.96081552815,-37.80741705045211,"-37.80741705045211, 144.96081552815",58-64 Franklin Street,MELBOURNE,3000
Carpark Melbourne University 220 Berkeley Street CARLTON VIC 3053,Carlton,Commercial,1136,144.96070112606373,-37.8002509946,"-37.8002509946, 144.96070112606373",Carpark Melbourne University 220 Berkeley Street,CARLTON,3053
2 Riverside Quay SOUTHBANK VIC 3006,Southbank,Commercial,575,144.96329106844613,-37.82131723165,"-37.82131723165, 144.96329106844613",2 Riverside Quay,SOUTHBANK,3006
28 Freshwater Place SOUTHBANK VIC 3006,Southbank,Commercial,247,144.96228959535927,-37.8226720979,"-37.8226720979, 144.96228959535927",28 Freshwater Place,SOUTHBANK,3006
