Brand,Model,Total,best_match,score,prop,model_risk
AJP Motorcycles,PR7   ,1,pr7,100,0.003322259,1.00E-06
Aprilia,660,1,660,100,0.003322259,1.00E-06
Beta Motorcycles  ,300RR ,1,300rr,100,0.003322259,1.00E-06
CFMOTO,150SC ,1,1250sc,91,0.003322259,1.00E-06
CFMOTO,300NK ,4,300nk,100,0.013289037,0.04918123
CFMOTO,520,1,520,100,0.003322259,1.00E-06
CFMOTO,650MT ,1,650mt,100,0.003322259,1.00E-06
CFMOTO,GSXR25,1,gsx-r125,86,0.003322259,1.00E-06
CFMOTO,U1000 ,2,1000,89,0.006644518,0.01639441
Ducati,DESERT,1,desertx,92,0.003322259,1.00E-06
Ducati,MULTIS,1,multiuso,86,0.003322259,1.00E-06
Ducati,STREET,5,street,100,0.016611296,0.065574639
GasGas,EC300 ,2,ec300,100,0.006644518,0.01639441
GasGas,MC250 ,1,mc250,100,0.003322259,1.00E-06
Hino,300,18,300,100,0.059800664,0.278688967
Hino,500,14,500,100,0.046511628,0.213115328
Hino,500 FC,1,500 sfc,92,0.003322259,1.00E-06
Hino,700,1,700,100,0.003322259,1.00E-06
Honda ,CB1000,2,cb1000c,92,0.006644518,0.01639441
Honda ,CB125F,6,cb125f,100,0.019933555,0.081968049
Honda ,CB300R,3,cb300r,100,0.009966777,0.03278782
Honda ,CB350F,1,cb350,91,0.003322259,1.00E-06
Honda ,CB500 ,1,cbr500,91,0.003322259,1.00E-06
Honda ,CB500F,2,cb500f,100,0.006644518,0.01639441
Honda ,CB500R,2,cbr500r,92,0.006644518,0.01639441
Honda ,CB500X,5,cb500x,100,0.016611296,0.065574639
Honda ,CB650R,6,cb650r,100,0.019933555,0.081968049
Honda ,CB750 ,2,cb750,100,0.006644518,0.01639441
Honda ,CBF125,4,cbf125,100,0.013289037,0.04918123
Honda ,CBR500,2,cbr500,100,0.006644518,0.01639441
Honda ,CBR50R,2,cbr150r,92,0.006644518,0.01639441
Honda ,CBR650,17,cbr650f,92,0.056478405,0.262295557
Honda ,CRF110,1,crf110f,92,0.003322259,1.00E-06
Honda ,CRF250,1,crf250f,92,0.003322259,1.00E-06
Honda ,CRF300,3,crf300l,92,0.009966777,0.03278782
Honda ,CRF450,3,crf450f,92,0.009966777,0.03278782
Honda ,CRF45L,2,crf450l,92,0.006644518,0.01639441
Honda ,NAVI  ,2,navi,100,0.006644518,0.01639441
Honda ,NT 110,1,tnt 1130,86,0.003322259,1.00E-06
Honda ,NT1100,1,nt1100,100,0.003322259,1.00E-06
Honda ,PCX   ,1,pcx,100,0.003322259,1.00E-06
Honda ,PCX 12,1,pcx (125),92,0.003322259,1.00E-06
Honda ,PCX125,16,pcx125,100,0.053156146,0.245902148
Honda ,SXS100,2,ss100,91,0.006644518,0.01639441
Indian,CHIEFT,1,chief,91,0.003322259,1.00E-06
Indian,SCOUT ,6,scout,100,0.019933555,0.081968049
Kawasaki,650L  ,2,z650l,89,0.006644518,0.01639441
Kawasaki,KDF100,2,df100,91,0.006644518,0.01639441
Kawasaki,KLR650,4,klr650,100,0.013289037,0.04918123
Kawasaki,KLX140,1,klx140,100,0.003322259,1.00E-06
Kawasaki,KLX150,1,klx150,100,0.003322259,1.00E-06
Kawasaki,KLX230,1,klx230,100,0.003322259,1.00E-06
Kawasaki,KR1S  ,2,kr1-s,89,0.006644518,0.01639441
Kawasaki,VERSYS,1,versys,100,0.003322259,1.00E-06
Kawasaki,Z1000 ,1,z1000,100,0.003322259,1.00E-06
Kawasaki,Z650RS,1,z650rs,100,0.003322259,1.00E-06
Kawasaki,Z900  ,1,z900,100,0.003322259,1.00E-06
Kawasaki,ZR900 ,1,z900,89,0.003322259,1.00E-06
KTM AG,450EXC,1,450 exc,92,0.003322259,1.00E-06
Kwang Yang Motor Co (KYMCO),LIKE 1,1,like 125,86,0.003322259,1.00E-06
Kwang Yang Motor Co (KYMCO),SKI150,1,sk150,91,0.003322259,1.00E-06
Mahindra,3650,1,350,86,0.003322259,1.00E-06
Mini,COOPER,62,cooper,100,0.205980066,0.999999
