postcode,locality,long,lat,lgaregion,Local Government Area,Motorcycle Theft Rate,postcode_risk
3000,MELBOURNE,144.9825846,-37.81443733,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3002,EAST MELBOURNE,144.9825846,-37.81443733,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3003,WEST MELBOURNE,144.949592,-37.810871,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3004,MELBOURNE,144.9825846,-37.81443733,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3004,ST KILDA ROAD CENTRAL,144.970161,-37.844246,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3004,ST KILDA ROAD MELBOURNE,144.976,-37.8368,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3005,WORLD TRADE CENTRE,144.950858,-37.824608,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3006,SOUTH WHARF,144.9520744,-37.82528675,Port Phillip,Port Phillip,53.27845565384348,0.9999990000000001
3006,SOUTHBANK,144.965926,-37.823258,Port Phillip,Port Phillip,53.27845565384348,0.9999990000000001
3008,DOCKLANDS,144.948039,-37.814719,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3010,UNIVERSITY OF MELBOURNE,144.961351,-37.796152,Melbourne,Melbourne,34.34989685364706,0.6321638896707255
3011,FOOTSCRAY,144.907953,-37.807101,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3011,SEDDON,144.907953,-37.807101,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3011,SEDDON WEST,144.907953,-37.807101,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3012,BROOKLYN,144.861162,-37.807135,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3012,KINGSVILLE,144.861162,-37.807135,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3012,KINGSVILLE WEST,144.861162,-37.807135,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3012,MAIDSTONE,144.861162,-37.807135,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3012,TOTTENHAM,144.861162,-37.807135,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3012,WEST FOOTSCRAY,144.861162,-37.807135,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3013,YARRAVILLE,144.888686,-37.814183,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3013,YARRAVILLE WEST,144.888686,-37.814183,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3015,NEWPORT,144.880556,-37.838242,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3015,SOUTH KINGSVILLE,144.880556,-37.838242,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3015,SPOTSWOOD,144.880556,-37.838242,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3016,WILLIAMSTOWN,144.888461,-37.863743,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3016,WILLIAMSTOWN NORTH,144.888461,-37.863743,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3018,ALTONA,144.812736,-37.86172,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3018,SEAHOLME,144.812736,-37.86172,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3019,BRAYBROOK,144.854014,-37.784683,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3019,BRAYBROOK NORTH,144.854014,-37.784683,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3019,ROBINSON,144.854014,-37.784683,Maribyrnong,Maribyrnong,29.393683914414414,0.5358507391259991
3020,ALBION,144.829945,-37.777204,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3020,GLENGALA,144.829945,-37.777204,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3020,SUNSHINE,144.829945,-37.777204,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3020,SUNSHINE NORTH,144.829945,-37.777204,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3020,SUNSHINE WEST,144.8110787,-37.79809941,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3021,ALBANVALE,144.796693,-37.743361,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3021,KEALBA,144.796693,-37.743361,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3021,KINGS PARK,144.796693,-37.743361,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3021,ST ALBANS,144.796693,-37.743361,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3022,ARDEER,144.793961,-37.795937,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3022,DEER PARK EAST,144.793961,-37.795937,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,BURNSIDE,144.770641,-37.78272,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,BURNSIDE HEIGHTS,144.755657,-37.73218752,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,CAIRNLEA,144.770641,-37.78272,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,CAROLINE SPRINGS,144.770641,-37.78272,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,DEER PARK,144.770641,-37.78272,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,DEER PARK NORTH,144.770641,-37.78272,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3023,RAVENHALL,144.770641,-37.78272,Brimbank,Brimbank,9.959543864162791,0.15819076379471816
3024,FIELDSTONE,144.649936,-37.75045631,Melton,Melton,13.727681323644578,0.231416267795053
3024,MAMBOURIN,144.556552,-37.899873,Melton,Melton,13.727681323644578,0.231416267795053
3024,MANOR LAKES,144.5812323,-37.86694209,Melton,Melton,13.727681323644578,0.231416267795053
3024,MOUNT COTTRELL,144.556552,-37.899873,Melton,Melton,13.727681323644578,0.231416267795053
3024,WYNDHAM VALE,144.556552,-37.899873,Melton,Melton,13.727681323644578,0.231416267795053
3025,ALTONA EAST,144.839704,-37.835562,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3025,ALTONA GATE,144.839704,-37.835562,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3025,ALTONA NORTH,144.839704,-37.835562,Hobsons Bay,Hobsons Bay,7.041039578089285,0.10147602088184682
3026,DERRIMUT,144.64209,-37.91624,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
3026,LAVERTON NORTH,144.774986,-37.829923,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
3027,LAVERTON RAAF,144.754147,-37.932419,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
3027,WILLIAMS LANDING,144.7430155,-37.86199812,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
3027,WILLIAMS RAAF,144.754147,-37.932419,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
3028,ALTONA MEADOWS,144.777165,-37.875066,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
3028,LAVERTON,144.777165,-37.875066,Wyndham,Wyndham,11.793722760251796,0.19383401607441764
