year,postcode,yearly_thefts
2021,3000,237
2022,3000,313
2023,3000,291
2024,3000,395
2025,3000,582
2021,3002,46
2022,3002,32
2023,3002,35
2024,3002,37
2025,3002,51
2021,3003,55
2022,3003,61
2023,3003,50
2024,3003,83
2025,3003,90
2021,3004,38
2022,3004,48
2023,3004,73
2024,3004,59
2025,3004,91
2021,3006,95
2022,3006,155
2023,3006,139
2024,3006,205
2025,3006,297
2021,3008,72
2022,3008,94
2023,3008,107
2024,3008,98
2025,3008,170
2021,3011,112
2022,3011,147
2023,3011,129
2024,3011,180
2025,3011,302
2021,3012,166
2022,3012,134
2023,3012,148
2024,3012,172
2025,3012,200
2021,3013,42
2022,3013,41
2023,3013,40
2024,3013,48
2025,3013,102
2021,3015,27
2022,3015,50
2023,3015,44
2024,3015,35
2025,3015,110
2021,3016,35
2022,3016,58
2023,3016,56
2024,3016,59
2025,3016,95
2021,3018,25
2022,3018,20
2023,3018,19
2024,3018,25
2025,3018,61
2021,3019,69
2022,3019,58
2023,3019,64
2024,3019,66
2025,3019,81
2021,3020,244
2022,3020,207
2023,3020,189
2024,3020,284
2025,3020,412
2021,3021,195
2022,3021,159
2023,3021,154
2024,3021,180
2025,3021,211
2021,3022,14
2022,3022,6
2023,3022,13
2024,3022,22
2025,3022,21
2021,3023,163
2022,3023,167
2023,3023,134
2024,3023,219
2025,3023,246
2021,3024,60
2022,3024,56
2023,3024,82
2024,3024,63
2025,3024,152
2021,3025,53
2022,3025,51
2023,3025,65
2024,3025,73
2025,3025,94
2021,3026,74
2022,3026,60
2023,3026,86
2024,3026,109
2025,3026,167
2021,3027,24
2022,3027,27
2023,3027,37
2024,3027,39
2025,3027,68
2021,3028,46
2022,3028,69
2023,3028,63
2024,3028,55
2025,3028,96
2021,3029,252
2022,3029,317
2023,3029,366
2024,3029,452
2025,3029,751
2021,3030,226
2022,3030,229
2023,3030,269
2024,3030,335
2025,3030,543
2021,3031,71
2022,3031,65
2023,3031,72
2024,3031,89
2025,3031,179
2021,3032,89
2022,3032,124
2023,3032,105
2024,3032,150
2025,3032,215
2021,3033,20
2022,3033,42
2023,3033,27
2024,3033,36
2025,3033,42
2021,3034,8
2022,3034,15
2023,3034,11
2024,3034,16
2025,3034,14
2021,3036,8
2022,3036,9
2023,3036,14
2024,3036,7
2025,3036,18
2021,3037,67
2022,3037,72
2023,3037,48
2024,3037,70
2025,3037,70
2021,3038,49
2022,3038,47
2023,3038,36
2024,3038,72
2025,3038,106
2021,3039,38
2022,3039,59
2023,3039,42
2024,3039,61
2025,3039,75
2021,3040,73
2022,3040,60
2023,3040,50
2024,3040,86
2025,3040,101
2021,3041,41
2022,3041,32
2023,3041,38
2024,3041,43
2025,3041,75
2021,3042,34
2022,3042,49
2023,3042,57
2024,3042,60
2025,3042,97
2021,3043,150
2022,3043,92
2023,3043,118
2024,3043,147
2025,3043,192
2021,3044,67
2022,3044,54
2023,3044,63
2024,3044,59
2025,3044,95
2021,3045,39
2022,3045,46
2023,3045,63
2024,3045,99
2025,3045,211
2021,3046,110
2022,3046,88
2023,3046,95
2024,3046,85
2025,3046,136
2021,3047,95
2022,3047,94
2023,3047,114
2024,3047,146
2025,3047,150
2021,3048,50
2022,3048,56
2023,3048,78
2024,3048,53
2025,3048,89
2021,3049,31
2022,3049,16
2023,3049,22
2024,3049,33
2025,3049,55
2021,3051,69
2022,3051,100
2023,3051,93
2024,3051,145
2025,3051,156
2021,3052,43
2022,3052,30
2023,3052,36
2024,3052,46
2025,3052,69
2021,3053,71
2022,3053,103
2023,3053,93
2024,3053,134
2025,3053,173
2021,3054,41
2022,3054,50
2023,3054,48
2024,3054,49
2025,3054,69
2021,3055,54
2022,3055,51
2023,3055,47
2024,3055,71
2025,3055,79
2021,3056,130
2022,3056,141
2023,3056,113
2024,3056,149
2025,3056,165
2021,3057,49
2022,3057,54
2023,3057,51
2024,3057,46
2025,3057,100
2021,3058,161
2022,3058,135
2023,3058,143
2024,3058,158
2025,3058,239
2021,3059,26
2022,3059,38
2023,3059,32
2024,3059,42
2025,3059,77
2021,3060,33
2022,3060,31
2023,3060,36
2024,3060,36
2025,3060,71
2021,3061,107
2022,3061,76
2023,3061,101
2024,3061,137
2025,3061,203
2021,3062,22
2022,3062,29
2023,3062,31
2024,3062,40
2025,3062,72
2021,3063,4
2022,3063,2
2023,3063,1
2025,3063,5
2021,3064,219
2022,3064,274
2023,3064,327
2024,3064,327
2025,3064,497
2021,3065,53
2022,3065,59
2023,3065,68
2024,3065,104
2025,3065,135
2021,3066,68
2022,3066,60
2023,3066,61
2024,3066,80
2025,3066,118
2021,3067,56
2022,3067,37
2023,3067,43
2024,3067,40
2025,3067,50
2021,3068,88
2022,3068,79
2023,3068,94
2024,3068,101
2025,3068,139
2021,3070,77
2022,3070,68
2023,3070,97
2024,3070,87
2025,3070,176
2021,3071,75
2022,3071,51
2023,3071,64
2024,3071,101
2025,3071,154
2021,3072,164
2022,3072,125
2023,3072,133
2024,3072,187
2025,3072,379
2021,3073,225
2022,3073,137
2023,3073,181
2024,3073,218
2025,3073,338
2021,3074,80
2022,3074,69
2023,3074,81
2024,3074,74
